Month-Year,Amount
2-20-25,165.27
1-22-25,215.66
12-19-24,119.88
11-19-24,62.05
10-18-24,34.75
9-19-24,24.31
8-20-24,16.23
7-22-24,17.05
6-20-24,17.49
5-20-24,48.77
4-19-24,92.86
3-21-24,101.8
2-21-24,141.24
1-23-24,221.5
12-20-23,140.34
11-20-23,66.89
10-19-23,36.87
9-20-23,22.47
8-20-23,24.61
7-20-23,22.97
6-20-23,32.73
5-20-23,48.31
4-20-23,70.08
3-20-23,101
2-20-23,203.56
1-20-23,220.39
12-20-22,176.68
11-20-22,153.38
10-20-22,70.81
9-20-22,37.666
8-20-22,28.79
7-20-22,13.69
6-20-22,-38.03
5-20-22,104.74
4-20-22,118.55
3-20-22,141.54
2-20-22,167.97
1-20-22,-
